dev,iast,roman,count,top_sources,gotra_context
दरिहरा,drihrā,drihra,22644,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Śāṇḍilya, Vatsa, Kauśika, Kṛṣṇātreya"
सोदरपुर,sodrpur,sodrpur,21696,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-01-Diwali2014.doc, Vol-3Final03-a(1).doc, Vol-3Final03-e(1).doc","Kapila, Śāṇḍilya, Kṛṣṇātreya, Vatsa, Kauśika"
पाली,pālī,pali,19608,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-01-Diwali2014.doc, punji-05-Diwali2014.doc, Vol-3Final03-d(1).doc","Kapila, Śāṇḍilya, Kauśika, Vatsa, Vasiṣṭha"
माण्डर,māṇḍr,mandr,15702,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc, Final_348-690.doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Kauśika"
करमहा,krmhā,krmha,13604,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, Vol-3Final03-d(1).doc, Vol-3Final03-a(1).doc","Kapila, Vatsa, Kauśika, Śāṇḍilya, Kṛṣṇātreya"
खौआल,khauāl,khaual,12730,"punji-06-Diwali2014.doc, punji-07-Diwali2014.doc, Vol-3Final03-e(1).doc, punji-04-Diwali2014.doc, Vol-3Final03-c(1).doc","Śāṇḍilya, Kapila, Vatsa, Vasiṣṭha, Kṛṣṇātreya"
बुधवाल,budhvāl,budhval,11406,"punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, punji-06-Diwali2014.doc, punji-08-Diwali2014.doc, punji-04-Diwali2014.doc","Kapila, Vatsa, Śāṇḍilya, Kṛṣṇātreya, Kauśika"
कुजौली,kujaulī,kujauli,11254,"punji-07-Diwali2014.doc, punji-03-Diwali2014.doc, punji-01-Diwali2014.doc, punji-06-Diwali2014.doc, Vol-3Final03-e(1).doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Kauśika"
बेलउँच,belum̐c,belumc,11000,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-04-Diwali2014.doc, Vol-3Final03-d(1).doc","Kapila, Śāṇḍilya, Vatsa, Kṛṣṇātreya, Kauśika"
एकहरा,ekhrā,ekhra,10744,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-04-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc","Śāṇḍilya, Kapila, Kṛṣṇātreya, Vatsa, Vasiṣṭha"
खण्डवला,khṇḍvlā,khndvla,9822,"punji-04-Diwali2014.doc, punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-05-Diwali2014.doc, punji-08-Diwali2014.doc","Kapila, Vatsa, Kauśika, Śāṇḍilya, Kṛṣṇātreya"
हरिअम,hriam,hriam,9012,"punji-07-Diwali2014.doc, punji-04-Diwali2014.doc, punji-03-Diwali2014.doc, punji-08-Diwali2014.doc, punji-06-Diwali2014.doc","Kapila, Vatsa, Kauśika, Kāśyapa, Śāṇḍilya"
सतलखा,stlkhā,stlkha,8812,"punji-07-Diwali2014.doc, punji-06-Diwali2014.doc, punji-08-Diwali2014.doc, punji-03-Diwali2014.doc, Vol-3Final03-d(1).doc","Kapila, Śāṇḍilya, Kauśika, Kṛṣṇātreya, Vatsa"
अलय,aly,aly,8126,"Final_1-65.doc, punji-07-Diwali2014.doc, punji-05-Diwali2014.doc, Vol-3Final03-e(1).doc, punji-03-Diwali2014.doc","Vatsa, Kapila, Kauśika, Taṇḍī, Śāṇḍilya"
